Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1661,3.0,22.0,Yes,44.1,12.0,,,,,ITALY
1662,1.0,1.0,,-0.2,-78.4,,,,,ECUADOR
1662,6.0,7.0,,17.0,-96.3,,,,,MEXICO
1662,6.0,16.0,,35.5,136.0,,,600.0,,JAPAN
1662,10.0,30.0,Yes,31.7,132.0,,7.6,,,JAPAN
1662,,,,35.0,25.0,,,,,GREECE
1663,2.0,5.0,,47.6,-70.1,,,,,CANADA
1663,,,,12.4,-86.6,,,,,NICARAGUA
1664,5.0,12.0,,-14.1,-75.8,15.0,7.3,400.0,,PERU
1664,8.0,12.0,,35.5,127.1,,6.3,50.0,,SOUTH KOREA
1664,,,,38.7,112.7,,5.5,,,CHINA
1664,,,,38.1,46.3,,,1500.0,,IRAN
1665,1.0,,,35.0,25.0,,,,,GREECE
1665,6.0,15.0,,35.4,52.0,,,,,IRAN
1665,6.0,19.0,,14.6,121.0,,,19.0,,PHILIPPINES
1666,2.0,1.0,,37.0,138.0,,,1500.0,,JAPAN
1666,5.0,31.0,Yes,35.0,136.8,,6.4,,,"TOKAIDO, JAPAN"
1666,11.0,,,36.0,42.5,,,,,IRAQ
1667,2.0,3.0,,37.2,50.0,,,,,IRAN
1667,4.0,6.0,Yes,42.6,18.1,,7.2,5000.0,,BALKANS NW
1667,7.0,30.0,,18.8,-98.0,,,,,MEXICO
1667,11.0,18.0,,37.2,57.5,,,12000.0,,IRAN
1667,11.0,30.0,Yes,38.4,27.1,,6.6,,,TURKEY
1667,11.0,,,40.6,48.6,12.0,6.9,80000.0,,AZERBAIJAN
1667,,,,18.3,-77.5,,,,,JAMAICA
1667,,,Yes,25.0,125.5,,6.7,,,"MIYAKOJIMA, JAPAN"
1668,1.0,4.0,,38.0,46.2,,,,,IRAN
1668,4.0,13.0,Yes,42.35,-71.05,,,,,"BOSTON AND SALEM, MASSACHUSETTS"
1668,5.0,2.0,,24.0,68.0,10.0,,,,PAKISTAN
1668,7.0,10.0,Yes,38.4,27.1,,6.6,17500.0,,TURKEY
1668,7.0,25.0,Yes,35.3,118.6,,8.5,42578.0,,CHINA
1668,7.0,31.0,Yes,38.0,126.0,,6.4,,,NORTH KOREA
1669,1.0,4.0,,40.6,48.6,5.0,5.7,7000.0,,AZERBAIJAN
1669,3.0,11.0,,37.6,15.0,,,,,ITALY
1669,6.0,4.0,,,,,,,,INDIA
1670,7.0,17.0,,47.2,11.4,,,,,AUSTRIA
1670,8.0,19.0,Yes,33.0,122.5,,6.8,,,CHINA
1670,10.0,30.0,,35.9,126.5,,6.3,,,SOUTH KOREA
1670,12.0,17.0,Yes,35.5,141.0,,6.4,,,"BOSO, JAPAN"
1670,,,,27.5,53.6,,,,,IRAN
1671,1.0,1.0,,40.6,48.6,,,,,AZERBAIJAN
1671,2.0,27.0,Yes,33.4,134.7,,6.9,,,JAPAN
1672,4.0,14.0,Yes,43.933,12.583,,5.6,1500.0,,ITALY
1672,4.0,,Yes,40.0,26.0,,,,,"E. SPORADES ISLANDS, AEGEAN ISLANDS"
1672,,,Yes,36.5,25.5,,,,,GREECE
1673,5.0,9.0,,18.3,-69.5,,,5.0,,DOMINICAN REPUBLIC
1673,5.0,20.0,Yes,1.375,127.52,,,,,INDONESIA
1673,7.0,12.0,Yes,-3.0,128.0,,,,,INDONESIA
1673,7.0,30.0,,36.3,59.3,,6.6,5600.0,,IRAN
1673,8.0,12.0,Yes,1.375,127.52,,,,,INDONESIA
1674,1.0,1.0,,39.5,20.0,,,,,GREECE-ALBANIA
1674,2.0,17.0,Yes,-3.75,127.75,40.0,6.8,86.0,35.0,INDONESIA
1674,5.0,6.0,Yes,-3.7,128.2,,,,,INDONESIA
1674,8.0,29.0,,-1.7,-79.0,,7.7,,,ECUADOR
1675,3.0,,Yes,13.0,121.0,,,,,PHILIPPINES
1676,7.0,12.0,,34.5,132.0,,,7.0,,JAPAN
1677,4.0,13.0,Yes,40.0,144.0,,8.1,,,JAPAN
1677,9.0,,,33.4,104.8,,5.5,,,CHINA
1677,11.0,4.0,Yes,35.0,141.5,,7.4,,,JAPAN
1677,12.0,7.0,Yes,14.5,120.5,,,2.0,,PHILIPPINES
1677,,,,17.6,-76.5,,,,,JAMAICA
1678,2.0,3.0,,37.1,50.0,,,,,IRAN
1678,2.0,11.0,,20.0,-75.5,,,,,CUBA
1678,2.0,23.0,,34.2,58.4,,,,,IRAN
1678,6.0,18.0,Yes,-9.0,-79.0,40.0,8.4,,,PERU
1678,10.0,2.0,,38.6,142.0,,7.4,1.0,,JAPAN
1678,,,,34.1,74.8,,,,,INDIA
1679,6.0,4.0,,40.1,44.7,15.0,5.9,7600.0,,TURKEY; ARMENIA
1679,9.0,2.0,,40.0,117.0,,8.0,13162.0,,CHINA
